ft,id,lg,predicted_label,classification_result,correct,article_link
"Thoune, Qoldiwil, ftilterfingen, Qberhofeny Qunten, JSigristvU, ïïlerligen Saison du _prinSemps, d'été et d'automne j _Navigation a vapeur Chemin de fer au bord du Lac-FunlcuDaire au Beatenberg-& nl'-. es du St-Beat-Promenade auprès du Lac Tennis, GoBf, Sports nautiques ! Vie de bains. Prospectus par les Bureaux officiels de renseignements locaux. ainsi que par la Société trafic du Lac de Thoune. JH-2375-B 6198 ",IMP-1926-06-18-a-i0078,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1926-06-18-a-i0078
"* m _4 mW $£ ~ * fe @ 5. _flS ! ¦ fBMHWffB g _^ y ^*! SÇ |^*? '""'^ _l ;""-¦.--'--;'-'¦ _CgffJI -. Sj'-* ---. ¦ ¦. r' v-'--'. \ ¦.. x _~ _- > _fi "" -:--'¦^'_^'_~ -f' S îïSSîîi V ""-"""" ""¦ _*•-HHi 3 _iSwBv > ncS H-iri _^ _lg _^ B _^ M _^ B 58, _ESue Léop © _3 G 2- ^© ï 3 _ert-L _& CK / ftUX- _& E-F €) NDS-_® _ue LéopoSd-Robert _, 58 H f Les plus importants magasins _^ CO _fiTIipfSCtf $ ( fOI * Û € SSUS 8 H' spécialisés dans l'habillement j »--- <*... _ttB ? AB, _. _.-. I H _L _j _^ / 5 J.-§ 5, "" ÏJ.-11- 95 / Raglans eu _centres | Pas de Confection vulgaire ¦*«* "" ^® # "" ^' "" _* _* "" ¦ *"" Pas de Tissus _^ e basse _qcialïté _Maâs des Vêtements élégants _pR Faits avec de bonnes étoffes 3] 377 | _^ S. i mmm. _, _, __ H & Et des prix... réellement avantageux... S _-'-_* _"" _^ _"" _^ rcËYTfîoBiH ^^ _Ifff _ffl _^ _fwSiffififl _ipfl _^ '"" : ! 6 :. *^* SB _SB _^ ¦-¦ ¦¦ _>'_vSEË & r '^^^ _Ji _^ fiij ^^ r _^ i ^^ _KfflfMiWHJlCTB ^^ _Mi "" _BBlPsi ^^ iriBBH ™'^^'_^ aâO & SjflSEEiV-_^ jftSP » lW > Ma ^' _^ -^* rvtf _w "" ¦¦"""" _IM '' IIMM _""' M'MMI _^ w *^ MM""MM 1'*^^ _rTlTlM » XB » wilMllifflim ",IMP-1926-11-12-a-i0107,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1926-11-12-a-i0107
"I "" I I ^^ _M _. _iiiiii _^ _liii ^^ _ii ^^ _i ^^^^ _l _l i ¦¦ _j _^ _jj _^ _jj _^ _j _j _^ _^ j ||^ _^ _^ _jj _TUaison de eonfinr. ee, connue par ses grands assortiments i de _marchandises, ses qualités et ses prix avantageux. 240 » : ¦ * _^ ^^^^^^ _Horiegerie j ~ 1 l _^ _^ d _@ Pï _@ tro _mmm j _A _^ i _^ _N LA CHAUX-DE-FOIrt S | Ali !« îîCS 8 j : | _^ _ff *^ _^ ^^ ™ _yff ^^|^ jJJ _2 JJ _ u _ i lliLJI _, _!, _, ! f _Cidjjii offert am famé : iî _# » 'fB »»»«» _t »«»»»» _ot _«» _not >. -- ; i 3 i _- » r- »«-----, --- -ri-- •¦ : ice » _giii » t. * _iiioé ! _i _« _i « fe » i 9 « _l »<*><»« _iii *«»«» 4 t _* i' «<'*(*<»* DÂnlnmnHf fin $ *&*> (& Sflr cartoiI'_Llbrarrie COURVOISIER _MimMi UU J _^ _SSa Envoi _contre remboursement. ",IMP-1926-12-20-a-i0103,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/IMP-1926-12-20-a-i0103
"Que se passerait-il s'il avait personne pour assurer la garde dans les hôpitaux Dans certaines professions le travail de nuit va de La nouvelle loi sur le travail des personnes travaillant la R° bert £ coffey , ou, an 9 -Wbourg améliore la protection nuit. Comité romand Case postale la loi sur le travail 3001 Berne PUBLICITÉLoi sur le travail oyif ? soi. pour 8615 ",GDL-1996-10-04-a-i0135,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/GDL-1996-10-04-a-i0135
"AVIS MORTUAIRES Je ne te laisserai pas, Je ne t’abandonnerai jamais C’est donc avec assurance que nous pouvons dire : le Seigneur est mon aide, je ne craindrai rien. Hébreux 13 v. 5 Nous avons la grande douleur de faire part du décès de notre chère maman, belle-maman, grand-maman, arrière-grand-maman, sœur, belle-sœur, tante et amie Madame Violette ROLLIER-MÉRILLAT qui s’est endormie sereinement dans sa 85 e année, après une courte maladie. Nous garderons de merveilleux souvenirs de notre chère aimée. Neuchâtel, le 31 août 2012 Marlène et Fredi Torgler-Rollier à Gossau (SG) Eliane et Bruno Gehrig-Torgler avec Zoé et Lia à Wilen bei Wil Géraldine et Andi Gehrig-Torgler avec Joël et Aline à Wilen bei Wil Gisèle et Pierre-Henri Barrelet-Rollier à Peseux Julien Barrelet à Cortaillod Sophie et Piero Trovato-Barrelet avec Alyssa à Cernier Valentin Barrelet à Peseux Daisy et Willy Streit-M érillat et Karin à Bienne Sylvain et Jeannine Mérillat et famille à Serrières Simone Mérillat et famille à Serrières Marguerite Rollier et famille à Tavannes Roger Rollier à La Neuveville ainsi que les familles parentes, alliées et amies. La cérémonie en sa mémoire aura lieu le mercredi 5 septembre à 14 heures, à la Chapelle du centre funéraire de Beauregard, à Neuchâtel. Violette repose à l’H ôpital neuchâtelois Pourtalès. Adresse de la famille : Gisèle Barrelet, Rugin 1 a, 2034 Peseux En lieu et place de fleurs, vous pouvez penser à l’Eglise Evangélique missionnaire, Les Geneveys-sur-Coffrane, CCP 20-2236-7, mention « deuil Violette Rollier-M érillat ». ",EXP-2012-09-03-a-i0207,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-2012-09-03-a-i0207
"Monsieur et Madame Gilbert de Meuron et leur fille Virginie ; Monsieur Philippe de Meuron : Monsieur et Madame Nicolas Gagnebin-de Meuron : Monsieur et Madame Charles Turrettini-de Meuron ; Monsieur et Madame Guy de Meuron, leurs enfants et petits-enfants ; Monsieur Maximilien de Meuron ; Monsieur et Madame Jacques Stadler, leurs enfants et petits-enfants : Monsieur Rodolphe Stadler ; Monsieur et Madame Alfredo Fernandez, ainsi que les familles parentes et alliées, ont l'immense chagrin de faire part du décès de Monsieur André de MEURON survenu accidentellement le 7 avril 1984. Le défunt repose à la Chapelle des Rois. Le culte sera célébré au temple de Cologny, le mercredi 11 avril 1984 à 14 h 15. L'incinération suivra dans l'intimité de la famille. Domicile de la famille : 12, quai Gustave-Ador, 1207 Genève. Cet avis tient lieu de lettre de faire part / 178094-78 ",EXP-1984-04-10-a-i0056,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1984-04-10-a-i0056
"_HEÉt _AM _^ _OE Étira Éslll t _^.'r _^ Mi jJ "" IIIEHBB' : BW _^ SjdKIWJ ÉBj. ¦ _•* ¦'_- r : _^'_^ y lr <''_wj _^ _jj ^*''*''^'' v'¦ KM Kilili I « _aJMMi ""''_MMiSOfliBMWS Si _^ E'B'_P B [_^ m ""^ _î 41 BWBI _____ _ _M -- / _- '"". ¦il _IflSStïi p 1 -Usj £££ _itt ^* _l _gjHngTHH afcJwwMJjMiï _| flj | BL _^ HHI _ _I P !_ Hl i èBI- (TF ~_-_ tgyi _. i. 1 pi.. ""-> _- >. _iw ;* ¦ r _^ _vwVwl * EMHNHtl -» ""'¦'-* ""... ""'-_ 5 Y. Y'Y'':- """". Y''Y '' A \^. r ..: iy _^ Y. y .., _?.'. A- .- """"'-'.. ¦¦'5 â 3 _? _A <<? '¦ .-'¦'•. ""-; "" "", '_ ¦;'., _% ¦-.'*; "" ¦'""'''? .- ¦ .. 'j',-'.'. ""' ¦. ''-;;¦ Ç ; ¦¦'. '' --:- ^""""'7'. l'_- 'r ""' ^"""""" y _^. "" '¦ """" ¦ '""' Sfr "" ¦'_?, _ -. _¦ .:--. ¦ _— ¦-¦. y .,-£ _& _' 5 S 2 tïj 5 _ffiR _, \ _& _fffiR § ÏJ _ j n _J _^ T-Ô ^/^ y *^ 'ï, ^'* _V ?' ^> 'lj ^__ H _^ ",EXP-1984-11-09-a-i0206,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1984-11-09-a-i0206
"Jl _3 ''' _fo ''' _- ! _JJWS '' _£ K _£ fc '' _4 _& _Qft _^'"" _* '~^^^^^'"" ^^~->^*'* iÉ ^*^* Z _&* : _&'^&^^ _^ _% J !^ S ^^ tt ^^ MiËiP _- ^^ ** *^^^^^^ tl ^?^ s _§ »! * rv _^ n ^^ _Tvi ï / •v j"" | f _^ 1 Rë _TI r * _^ Ëk nTÎTi r *^ H « I jJ * T ^*^ il _^ * i * _JfoYi # âft _3 ! i &»& _vJ _^ I _^ H _& 8 £ && lîRtîfcS _* S KKR _& S _l _$ i * _H i I I t """" Tl a l """" T % ¦ I I L J Ra, k'JB & À jl. z * 1 J & _^ 7 * A _* I I L. "" j B ?* _£ ÇjK : _^ 5 : iW ^~ JC _^ C ^***' *'* ~ *^. ,. ^^\\^ Mms __ gBB ^_^ _X _^ _A ^^_ _j ^_ wJK ^_^ AmJ _^_^ m _^ ^_ _M _ulffiÊW & _mt tut "" vî- *^*^*^'_^ L""j-i _^ j _6 *^ _fctf _^ _fffe _^ _.'f] t' _# tÈ ¦¦ "" _•rt _^ _CTSi ¦ -II _^ B-_^ y"""" _? _JBp _^ _* & "" _^ Sl- 1 'JftjTTjr _tJll _™ an _* ïpn < r""YJ""""lMJ || if""'uy _^ _^ J jf NII Té |'r ""l L ! _ff iTill'! _^ 'i ^^ l ^^^^^^^^ ipi . E >^| i *« j | j | i ^^-_nwjflBft'_wPI ^^""'"" "" _X _^ HI- ""'_^ 1 L J I B _. J _| L ,, r J « L _^ l. _t,, _^ ¦ .. 1, _^ 1 _> Ai ÀnJ »! _"" *"" _~ i '_^ _tzi ?^ ^\ ^( kt _JJ _^ _B'_$ _fcfe-HT ËÉ HrniBB HJ * _, ¦* wrM _& ---_^ Ji'^^^^^ _i _^ Sp''* «^ \ ^> V _£ * lir _vâu âïflifllilllL _^ 4 I a I I I I A. ^^ BP ^^^ _SBfl cJ'Sa « i 4 M jmmm _^ (S ¦ _^ i 2 *^ _F ^^» i ^^ _Ë _8 B SB » _^ i ^^. *^ _£ J _SH BafciJffi'Qiaa f 81111119 IL P * _RIPI _^ _KSE ÈÉ _^ _b _^ Éîi ^^ _£ _^. _^ _Ww _^ tw mwm VH .. V SttjSaZSSHÉjM _Sfeffl H _& t _. *? S ** x «?» Cl _WK •¦ _"" ¦ BW f Ke £ ^^ _tBSÊ _^ ÊÊKmmmWmmm. M tm \ r * jÊÊr ^^^ WmwÊmm yWÊÊ WÊÊ y- y J _^ ëM ^¦ _i _^ _k ï ^^^^^ _S ^^ fi _^ _^ _^'_v '* _"" ^^'_^ _^ _BB _^ IrL _SK _£ ^^ ~^~ MB * -T 095 S _* Ê i _^ K _^ ji _& a _^ B _jj ^||^ SWWMBfc _l ^^ l ^^ B ^^^^^^^^^^^^ V, _j »?*^* _i _* _tt _» ij _^ 5 S cjWCIB 3 iHB f _^ _- _« _j, s _"" _nrB _^ I Kl _^ : '' w _^ 9 B j ; "" * _° fy "" V _^ TC' _^ 8 _s ^""*''^"" -S. « TSë _* _jbmjwE _^ _^ HK' _^ _ï _^ 'IHH ^^^ I 1 _^ 1 H H H BBHBSBHS % 2 « _HpiWHB fflfc ? _f le 5 Si I B' _BBÉÉlMa _^ ^^ _a _^ _B ^^ B _^ B _^ *^^ _BI ^^ _M ^^^^ H J "" _Tf _^ -J * yWSH•-'ï fc | F'Tî '* ¦ _HfcvfvE ; *'_^ HS ""~ *'*""* 'i'* _~ _l ^^ k St *'^^ _ff '^^^ S _SW ^^^^'^^^ _KJK « _flPfHj _HlHIii _^ ff'rm' &~ "" ^^^^^ B ^^ TIOI ^^^^^^ _v A **& _$ ËmWjamm ™^ % _v _$ tl «. A & _R _* _?&, ^^ ~-_^ _. ztfjjËmœtâmS & _j _& _rt g _& V _^ vE ^^^^^^ _EgMfafc ^^ SÈ _^ _MWqHfegjelifcEA _*. # j ^^^ _Pl _^ _** _^ ^^ _R * îiy ^^ _SM |« l _^ a ifi : _* _S _^ fe * ¦< Â _$ S $ Mtefë _*'_&-"" _^ l _& _Qi'_kSÊk, _a _^ B _^ _9 m ^^ witmum ^^ y 5 mW _^ WS ^^ SiS S"" _^ ^^^^ IÉl 2 _S ^^* _im ^» f _^ _B _* _SÉte 6. JESSE * '^ t""-$ U $ k 'mWÊm ^^^^^ MÊÊmm _^ m ^^^^^ _^ m _^ m _^ t _^ ~ _* _4 _^ _bffr ^'-Hwl' _V !« _^ _WS ^^ _SB H''_IK _3 »^ i « B _^ tà _^ _f'-_^ ffl _MMfcfciJf ""' _^ 1 IH ^* É _^'^^^ _W ^^ _ISH P ^^^^^ _^ HBBË ^^^ EÉ' n * _i ^^ f _^'_£ s ! ï B ^^ HHHli * _1 _r _^ il H ^^ T _^ Q s _J _^ n ^^! 35 Pffii) iii & WE & BÊi &^ _S $ ! _Smmm _^ mi : \ HHHH ^^^^^ éEêE E _^ _sj _^ ^^^ âkM _^ sSSM *' _f _^ V UB _^ ^^ HIH i % fl _| ^^^ S IB _SPIPP 'I _K ^^^^ ^^* è _% ftt &* ÊSum + mt \ t mw / ÊSk catégorie de prix ! avec 63 caractères standard et 62 disq'jette _pwmet d'enregistrer, dis j ^^ H _^ _^ _^ ^^^^^* JE Fiche technique : Resolution graphi- signes graphiques. 4 touches de stoCKer et de rappeler rapidement A'_\ _3 ll § f | f ? que avec 16 couleurs de base et 256 fonction pour 8 possibilités de * pro- les données. Avec 170 K-Bytes pour Wky A : _- ^^^^ É- ^^^^^^^ _y _^ _^ ÊË y _^ ÈÊh combinaisons de couleurs. 3 gêné- grammation. Minuscules et majuscu- disquettes de 5 U"". Garantie 1 an. _^ -S ^» s «(»«'*'^^^^^^ _S'v _"" ^^^^^^ _^ B _H _^ roteurs de son à 8 octaves chacun, les. Alimentation 220 volts. Avec _^ B lIl _& _Si iii BfeÉPN »^''''_^ _fgWfà _% M 25 lignes à 40 signes sur l'écran, rac- manuel d'utilisation. Programme logiciel « Multidata ». ^^^^M-_, J-W &^ _^ **** ** _I 0 ^^^ m cordement sur n'importe quel télévi- Appareil à disquettes Floppy 6 programmes de jeu. ^^^ BP ^^^^ seur. Clavier de machine à écrire VC 1541 : une mémoire « intelligente » _^ P _^ ¦ ",EXP-1984-12-08-a-i0334,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1984-12-08-a-i0334
"ojm gij Commune _^ j | J de Chézard-Saint-Martin Mise au concours A la suite de la démission du titulaire, la commune de Chézard-Saint-Martin offre à pourvoir un poste de cantonnier-chauffeur Conditions d'engagement : -être citroyen suisse et en bonne santé -posséder le permis poids lourds -traitement et obligations légaux -entrée en services : 1'mars 1985 ou date à convenir. Adresser les offres de service, accompagnées d'un curriculum vitae, au Conseil communal, 2055 Saint-Martin, jusqu'au 8 janvier 1985. 21868321 Conseil communal ",EXP-1984-12-29-a-i0091,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1984-12-29-a-i0091
Les demandes de service ou de changement d'adresse doivent nous parvenir trois jours à l'avance. ,oeuvre-1939-01-08-a-i0197,,non-ad,missed_ad,False,https://impresso-project.ch/app/article/oeuvre-1939-01-08-a-i0197
"Monsieur Alphonse Monnard, à Saint-Biaise ; Monsieur et Madame Yvan Cirio-Monnard et leur fille Isabelle, à Marin ; Monsieur et Madame Michel nard-Cuche et leurs filles Arièle el Anne-Frédérique, à Boudry ; Monsieur et Madame André nard-Wilhelm et leurs enfants Carole et Stéphane, à Marin, ainsi que les familles parentes, alliées et amies, ont la grande douleur de faire part du décès de Madame Mathilde MONNARD née GEISER leur chère et regrettée épouse, maman, belle-maman, et grand-maman, que Dieu a reprise subitement à Lui, dans sa 68 me année. 2072 Saint-Biaise, le 14 janvier 1976. (Route de Neuchâtel 24). La lumière est semée pour le juste et la joie pour ceux dont le cœur est droit. Ps 97 : 11. L'incinération a eu lieu dans la plus stricte intimité le vendredi 16 janvier. Cet avis tient lieu de lettre de faire part WmWÊ _ t Ba ^^^ _mmn ^^^ am _^ ",EXP-1976-01-17-a-i0021,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1976-01-17-a-i0021
"Monsieur André Perrenoud ; Monsieur et Madame René Schmidt, leurs enfants et petits-enfants, à Lyon ; Madame Ginette Chaix, ses enfants et petits-enfants, à Lyon, ainsi que les familles parentes et alliées, ont le chagrin de faire part du décès de Madame André PERRENOUD née Marcelle DORMOY leur chère épouse, maman, grandmaman, arrière-grand-maman, parente et amie, que Dieu a rappelée à Lui, dans sa 74 me année, après une longue maladie supportée avec courage. 2003 Neuchâtel, le 5 février 1976. (Guillaume-Farel 8). Bienheureux ceux qui ont souffert patiemment Jac. 5 : 11. samedi 7 fécrématoire, à L'incinération aura lieu vrier. Culte à la chapelle du 11 heures. Domicile mortuaire : cimetière de Beauregard. pavillon du Cet avis tient lieu de lettre de faire part ",EXP-1976-02-06-a-i0023,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1976-02-06-a-i0023
"La Fédération des sapeurs-pompiers du canton de Neuchâtel a le profond regret de faire part du décès de Monsieur William HUGUENIN membre honoraire et ancien commandant des cours cantonaux et du bataillon des sapeurspompiers du Locle. Pour l'ensevelissement, prière de se référer à l'avis de la famille. ",EXP-1976-07-26-a-i0030,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1976-07-26-a-i0030
"_Wd _fcfbf DÉPARTEMENT MW DES FINANCES Par suite de prochaine mise à la retraite d'un de nos employés, nous cherchons un employé de commerce pour le Bureau de Recettes de l'Etat à Neuchâtel. Exigence : formation commerciale complète. Obligations et traitement : légaux. Entrée en fonction : à convenir. Les offres de service manuscrites accompagnées d'un curriculum vitae et des copies de diplômes et certificats, doivent être adressées à l'Office du personnel de l'Etat, rue du Château 23,2001 Neuchâtel, jusqu'au 10 octobre 1976. ",EXP-1976-09-24-a-i0081,fr,non-ad,missed_ad,False,https://impresso-project.ch/app/article/EXP-1976-09-24-a-i0081
"Faire-part de deuil Imprimerie St-Paul Pérolles 42, Fribourg ",LLE-1986-01-25-a-i0475,,non-ad,missed_ad,False,https://impresso-project.ch/app/article/LLE-1986-01-25-a-i0475
__ BONNGT ÉGALEMENT _____ --g DEPUIS 1895 ____ ¦ _ --- _-CONFECTION SUR MESURE FABRICANT VENTE DIRECTE ràfliT J FRIBOURG Rue de Lausanne 46 ,LLE-1986-05-23-a-i0255,,non-ad,missed_ad,False,https://impresso-project.ch/app/article/LLE-1986-05-23-a-i0255
mm TERRAINS / VILLAS / APPARTEMENTS / APP. EN TERRAS. / MAISONS CONTIGUËS ,LLE-1986-05-31-a-i0081,,non-ad,missed_ad,False,https://impresso-project.ch/app/article/LLE-1986-05-31-a-i0081
Mundial : indiscutable mais flatteur ,LLE-1986-06-17-a-i0106,,non-ad,missed_ad,False,https://impresso-project.ch/app/article/LLE-1986-06-17-a-i0106
